PK,SK,DESCRIPTION
BLACKLIST_URL,http://netflix-clone-9ncu0smoi-danish061296.vercel.app/,OpenPhish
BLACKLIST_URL,https://conbasezprolugon.godaddysites.com/,OpenPhish
BLACKLIST_URL,http://www.conbasezprolugon.godaddysites.com/,OpenPhish
BLACKLIST_URL,https://att.bnsie.cc/pay/,OpenPhish
BLACKLIST_URL,https://web-bitbuy-com.typedream.app/,OpenPhish
BLACKLIST_URL,http://mail.google.oscarmar.com/mail/serviceMail7/13fd0d75ac18e5ea/gmail.html,OpenPhish
BLACKLIST_URL,https://www.cncinsure.com/,OpenPhish
BLACKLIST_URL,http://notifmv33.clanweb.eu/nklm/,OpenPhish
BLACKLIST_URL,http://www.oklvld.pl.ua/wp-content/plugins/backup-backup/includes/progress/2024/neteasyes/neteasyest/900/,OpenPhish
BLACKLIST_URL,https://t-mobile.tuogsjk.cc/OP7n6yHy/,OpenPhish
BLACKLIST_URL,https://www.roblox.com.ml/users/3367228189/profile,OpenPhish
BLACKLIST_URL,https://sigin-imwomelt-dee.inom.ro/,OpenPhish
BLACKLIST_URL,https://jyothsnanagadurga123.github.io/netfilx/,OpenPhish
BLACKLIST_URL,https://www.sigin-imwomelt-dee.inom.ro/,OpenPhish
BLACKLIST_URL,https://t-mobile.tuogsjz.cc/2WL3TF9h/,OpenPhish
BLACKLIST_URL,https://t-mobile.tiakcnx.cc/tALOKzhj/,OpenPhish
BLACKLIST_URL,https://t-mobile.tiakcnc.cc/wbn7RgBf/,OpenPhish
BLACKLIST_URL,https://supp-fmdevice.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,http://ubicated-lphon.help/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://wwvv-26osmapsmx.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://t-mobile.miqe.cc/l8egIfVn/?HIHL=xAXkFt,OpenPhish
BLACKLIST_URL,http://supicloud-buscar.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://t-mobile.tuogsjx.cc/Aywuige8/,OpenPhish
BLACKLIST_URL,https://findmy-support-location.com/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://location-fmi-iclo.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,http://myfind-1phone.help/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://t-mobile.miqt.cc/wDwikMOG/?data=1k3J4CvAFF&query=h9K6gGSDKt,OpenPhish
BLACKLIST_URL,https://t-mobile.tiakcnb.cc/VakTtEdB/,OpenPhish
BLACKLIST_URL,https://t-mobile.voirecsu.cc/iWC7fAfn/,OpenPhish
BLACKLIST_URL,https://t-mobile.tuogsjv.cc/Hlzjxx2T/,OpenPhish
BLACKLIST_URL,https://t-mobile.tuogsjf.cc/za9JK7wH/,OpenPhish
BLACKLIST_URL,https://t-mobile.tiakcnj.cc/zY5mm3v3/,OpenPhish
BLACKLIST_URL,https://t-mobile.tuogsjl.cc/Uwo0kpuQ/,OpenPhish
BLACKLIST_URL,https://t-mobile.voirecq.cc/qszxWgCu/,OpenPhish
BLACKLIST_URL,http://cloud-us.support/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://t-mobile.vhue.cc/Owq4EV5x/?UKHG=rcXtBL,OpenPhish
BLACKLIST_URL,http://miphone-buscar.us/iniciarNewesp.php,OpenPhish
